Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007
Mozambique,MOZ,Urban population,SP.URB.TOTL,5153816,5334821,5527355,5729157,5936928,6147973,6362398,6580887
Mauritania,MRT,Urban population,SP.URB.TOTL,1001876,1043561,1096793,1152889,1211822,1273520,1338058,1405583
Mauritius,MUS,Urban population,SP.URB.TOTL,506439,509128,511325,513680,515544,517242,518278,519269
Malawi,MWI,Urban population,SP.URB.TOTL,1628833,1680276,1731982,1785027,1840847,1900711,1964736,2032624
Malaysia,MYS,Urban population,SP.URB.TOTL,14375102,14918249,15458510,15999896,16548744,17108408,17681865,18266043
North America,NAC,Urban population,SP.URB.TOTL,247519374,250612588,253516142,256244701,259163359,262099001,265190165,268301627
Namibia,NAM,Urban population,SP.URB.TOTL,580960,599950,625184,652221,680413,710044,741413,774475
New Caledonia,NCL,Urban population,SP.URB.TOTL,132030,135341,138724,141907,144893,148559,152384,156245
Niger,NER,Urban population,SP.URB.TOTL,1834126,1910772,1981483,2055424,2132567,2212887,2296698,2384028
Nigeria,NGA,Urban population,SP.URB.TOTL,42603694,44726802,46947857,49272801,51708639,54260116,56934075,59734513
Nicaragua,NIC,Urban population,SP.URB.TOTL,2797499,2847189,2895890,2944162,2992665,3042132,3094982,3148772
Netherlands,NLD,Urban population,SP.URB.TOTL,12229998,12488742,12775902,13035570,13271929,13485107,13671225,13848922
Norway,NOR,Urban population,SP.URB.TOTL,3414033,3447513,3482266,3518773,3554092,3591141,3632998,3684159
Nepal,NPL,Urban population,SP.URB.TOTL,3207389,3395692,3520929,3646258,3772484,3900034,4030431,4163436
Nauru,NRU,Urban population,SP.URB.TOTL,10335,10219,10102,9990,9906,9848,9827,9846
New Zealand,NZL,Urban population,SP.URB.TOTL,3318432,3341111,3402067,3472292,3526736,3569251,3615494,3646829
OECD members,OED,Urban population,SP.URB.TOTL,907951690,918943701,930739344,942316439,953792771,965107280,976439361,987739273
Oman,OMN,Urban population,SP.URB.TOTL,1623166,1642020,1670102,1706322,1756547,1818148,1883098,1953732
Other small states,OSS,Urban population,SP.URB.TOTL,10421091,10715863,11019738,11345792,11712555,12137877,12625614,13187640
